year,month,Province,City,Location,Search_Volume
2024,1,충청남도,공주시,,20466
2024,2,충청남도,공주시,,21763
2024,3,충청남도,공주시,,23553
2024,4,충청남도,공주시,,26274
2024,5,충청남도,공주시,,29286
2024,6,충청남도,공주시,,26884
2024,7,충청남도,공주시,,27225
2024,8,충청남도,공주시,,27940
2024,9,충청남도,공주시,,27963
2024,10,충청남도,공주시,,26029
2023,1,충청남도,공주시,,17573
2023,2,충청남도,공주시,,18753
2023,3,충청남도,공주시,,23116
2023,4,충청남도,공주시,,21771
2023,5,충청남도,공주시,,25922
2023,6,충청남도,공주시,,25345
2023,7,충청남도,공주시,,26766
2023,8,충청남도,공주시,,28185
2023,9,충청남도,공주시,,26729
2023,10,충청남도,공주시,,28836
2023,11,충청남도,공주시,,22575
2023,12,충청남도,공주시,,18987
2022,1,충청남도,공주시,,13858
2022,2,충청남도,공주시,,11128
2022,3,충청남도,공주시,,13311
2022,4,충청남도,공주시,,14229
2022,5,충청남도,공주시,,19589
2022,6,충청남도,공주시,,18928
2022,7,충청남도,공주시,,18668
2022,8,충청남도,공주시,,21739
2022,9,충청남도,공주시,,21981
2022,10,충청남도,공주시,,22424
2022,11,충청남도,공주시,,21363
2022,12,충청남도,공주시,,17229
2021,1,충청남도,공주시,,10222
2021,2,충청남도,공주시,,11164
2021,3,충청남도,공주시,,11993
2021,4,충청남도,공주시,,14634
2021,5,충청남도,공주시,,16241
2021,6,충청남도,공주시,,16692
2021,7,충청남도,공주시,,17143
2021,8,충청남도,공주시,,17725
2021,9,충청남도,공주시,,16991
2021,10,충청남도,공주시,,17315
2021,11,충청남도,공주시,,17157
2021,12,충청남도,공주시,,16422
2020,1,충청남도,공주시,,10373
2020,2,충청남도,공주시,,11073
2020,3,충청남도,공주시,,12483
2020,4,충청남도,공주시,,12920
2020,5,충청남도,공주시,,13647
2020,6,충청남도,공주시,,13706
2020,7,충청남도,공주시,,13818
2020,8,충청남도,공주시,,13565
2020,9,충청남도,공주시,,13070
2020,10,충청남도,공주시,,15053
2020,11,충청남도,공주시,,14931
2020,12,충청남도,공주시,,12764
2019,1,충청남도,공주시,,11923
2019,2,충청남도,공주시,,9819
2019,3,충청남도,공주시,,13445
2019,4,충청남도,공주시,,13659
2019,5,충청남도,공주시,,12857
2019,6,충청남도,공주시,,15241
2019,7,충청남도,공주시,,12625
2019,8,충청남도,공주시,,14154
2019,9,충청남도,공주시,,13773
2019,10,충청남도,공주시,,14941
2019,11,충청남도,공주시,,12273
2019,12,충청남도,공주시,,14412
2019,1,충청북도,괴산군,,4840
2019,2,충청북도,괴산군,,4885
2019,3,충청북도,괴산군,,6378
2019,4,충청북도,괴산군,,5538
2019,5,충청북도,괴산군,,6419
2019,6,충청북도,괴산군,,6787
2019,7,충청북도,괴산군,,8316
2019,8,충청북도,괴산군,,6443
2019,9,충청북도,괴산군,,4983
2019,10,충청북도,괴산군,,7808
2019,11,충청북도,괴산군,,6240
2019,12,충청북도,괴산군,,5836
2020,1,충청북도,괴산군,,6227
2020,2,충청북도,괴산군,,3399
2020,3,충청북도,괴산군,,18184
2020,4,충청북도,괴산군,,8968
2020,5,충청북도,괴산군,,7820
2020,6,충청북도,괴산군,,7578
2020,7,충청북도,괴산군,,7998
2020,8,충청북도,괴산군,,7209
2020,9,충청북도,괴산군,,6428
2020,10,충청북도,괴산군,,7539
2020,11,충청북도,괴산군,,6292
2020,12,충청북도,괴산군,,8251
2021,1,충청북도,괴산군,,5437
2021,2,충청북도,괴산군,,4180
2021,3,충청북도,괴산군,,5178
2021,4,충청북도,괴산군,,7764
2021,5,충청북도,괴산군,,9609
2021,6,충청북도,괴산군,,7961
2021,7,충청북도,괴산군,,9049
2021,8,충청북도,괴산군,,9988
2021,9,충청북도,괴산군,,7783
2021,10,충청북도,괴산군,,8136
2021,11,충청북도,괴산군,,8895
2021,12,충청북도,괴산군,,8740
2022,1,충청북도,괴산군,,5400
2022,2,충청북도,괴산군,,3943
2022,3,충청북도,괴산군,,4698
2022,4,충청북도,괴산군,,6255
2022,5,충청북도,괴산군,,7972
2022,6,충청북도,괴산군,,9906
2022,7,충청북도,괴산군,,9901
2022,8,충청북도,괴산군,,9914
2022,9,충청북도,괴산군,,9468
2022,10,충청북도,괴산군,,12513
2022,11,충청북도,괴산군,,10042
2022,12,충청북도,괴산군,,7888
2023,1,충청북도,괴산군,,7507
2023,2,충청북도,괴산군,,5936
2023,3,충청북도,괴산군,,9173
2023,4,충청북도,괴산군,,8297
2023,5,충청북도,괴산군,,11518
2023,6,충청북도,괴산군,,9873
2023,7,충청북도,괴산군,,15115
2023,8,충청북도,괴산군,,14184
2023,9,충청북도,괴산군,,8686
2023,10,충청북도,괴산군,,10222
2023,11,충청북도,괴산군,,9284
2023,12,충청북도,괴산군,,6813
2024,1,충청북도,괴산군,,6303
2024,2,충청북도,괴산군,,7607
2024,3,충청북도,괴산군,,9114
2024,4,충청북도,괴산군,,9576
2024,5,충청북도,괴산군,,10373
2024,6,충청북도,괴산군,,10921
2024,7,충청북도,괴산군,,11755
2024,8,충청북도,괴산군,,12749
2024,9,충청북도,괴산군,,11326
2024,10,충청북도,괴산군,,14588
2019,1,충청남도,금산군,,3864
2019,2,충청남도,금산군,,3230
2019,3,충청남도,금산군,,3847
2019,4,충청남도,금산군,,4128
2019,5,충청남도,금산군,,4773
2019,6,충청남도,금산군,,4177
2019,7,충청남도,금산군,,5329
2019,8,충청남도,금산군,,4473
2019,9,충청남도,금산군,,3949
2019,10,충청남도,금산군,,4124
2019,11,충청남도,금산군,,3583
2019,12,충청남도,금산군,,4079
2021,1,충청남도,금산군,,3147
2021,2,충청남도,금산군,,3731
2021,3,충청남도,금산군,,2991
2021,4,충청남도,금산군,,4379
2021,5,충청남도,금산군,,5804
2021,6,충청남도,금산군,,3876
2021,7,충청남도,금산군,,5021
2021,8,충청남도,금산군,,4787
2021,9,충청남도,금산군,,4453
2021,10,충청남도,금산군,,4363
2021,11,충청남도,금산군,,4918
2021,12,충청남도,금산군,,5021
2022,1,충청남도,금산군,,3478
2022,2,충청남도,금산군,,3427
2022,3,충청남도,금산군,,3638
2022,4,충청남도,금산군,,4025
2022,5,충청남도,금산군,,6286
2022,6,충청남도,금산군,,5652
2022,7,충청남도,금산군,,5210
2022,8,충청남도,금산군,,6421
2022,9,충청남도,금산군,,6385
2022,10,충청남도,금산군,,6881
2022,11,충청남도,금산군,,6283
2022,12,충청남도,금산군,,5157
2023,1,충청남도,금산군,,5038
2023,2,충청남도,금산군,,4194
2023,3,충청남도,금산군,,8431
2023,4,충청남도,금산군,,8603
2023,5,충청남도,금산군,,7196
2023,6,충청남도,금산군,,6562
2023,7,충청남도,금산군,,6463
2023,8,충청남도,금산군,,7744
2023,9,충청남도,금산군,,8631
2023,10,충청남도,금산군,,8889
2023,11,충청남도,금산군,,6834
2023,12,충청남도,금산군,,5319
2024,1,충청남도,금산군,,5399
2024,2,충청남도,금산군,,4681
2024,3,충청남도,금산군,,6132
2024,4,충청남도,금산군,,7335
2024,5,충청남도,금산군,,6978
2024,6,충청남도,금산군,,6350
2024,7,충청남도,금산군,,8537
2024,8,충청남도,금산군,,8585
2024,9,충청남도,금산군,,6379
2024,10,충청남도,금산군,,8006
2020,1,충청남도,금산군,,3531
2020,2,충청남도,금산군,,3025
2020,3,충청남도,금산군,,3180
2020,4,충청남도,금산군,,3789
2020,5,충청남도,금산군,,3655
2020,6,충청남도,금산군,,3850
2020,7,충청남도,금산군,,4987
2020,8,충청남도,금산군,,5518
2020,9,충청남도,금산군,,5693
2020,10,충청남도,금산군,,4758
2020,11,충청남도,금산군,,4569
2020,12,충청남도,금산군,,4502
2019,1,충청남도,논산시,,6148
2019,2,충청남도,논산시,,5310
2019,3,충청남도,논산시,,7939
2019,4,충청남도,논산시,,6386
2019,5,충청남도,논산시,,9488
2019,6,충청남도,논산시,,7710
2019,7,충청남도,논산시,,7171
2019,8,충청남도,논산시,,7636
2019,9,충청남도,논산시,,5820
2019,10,충청남도,논산시,,5677
2019,11,충청남도,논산시,,9206
2019,12,충청남도,논산시,,7993
2020,1,충청남도,논산시,,6583
2020,2,충청남도,논산시,,5810
2020,3,충청남도,논산시,,6444
2020,4,충청남도,논산시,,10131
2020,5,충청남도,논산시,,6674
2020,6,충청남도,논산시,,8058
2020,7,충청남도,논산시,,6829
2020,8,충청남도,논산시,,7207
2020,9,충청남도,논산시,,7434
2020,10,충청남도,논산시,,7528
2020,11,충청남도,논산시,,8130
2020,12,충청남도,논산시,,7137
2021,1,충청남도,논산시,,4769
2022,1,충청남도,논산시,,6159
2022,2,충청남도,논산시,,6455
2022,3,충청남도,논산시,,6608
2022,4,충청남도,논산시,,6096
2022,5,충청남도,논산시,,9418
2022,6,충청남도,논산시,,8055
2022,7,충청남도,논산시,,7772
2022,8,충청남도,논산시,,9126
2022,9,충청남도,논산시,,8022
2022,10,충청남도,논산시,,9161
2022,11,충청남도,논산시,,10389
2022,12,충청남도,논산시,,8339
2023,1,충청남도,논산시,,8528
2023,2,충청남도,논산시,,8910
2023,3,충청남도,논산시,,11037
2023,4,충청남도,논산시,,10187
2023,5,충청남도,논산시,,10840
2023,6,충청남도,논산시,,11325
2023,7,충청남도,논산시,,14339
2023,8,충청남도,논산시,,12826
2023,9,충청남도,논산시,,11153
2023,10,충청남도,논산시,,12382
2023,11,충청남도,논산시,,11324
2023,12,충청남도,논산시,,11589
2024,1,충청남도,논산시,,11182
2024,2,충청남도,논산시,,10054
2024,3,충청남도,논산시,,14554
2024,4,충청남도,논산시,,14732
2024,5,충청남도,논산시,,15317
2024,6,충청남도,논산시,,13156
2024,7,충청남도,논산시,,15554
2024,8,충청남도,논산시,,13301
2024,9,충청남도,논산시,,10987
2024,10,충청남도,논산시,,12002
2019,1,충청남도,보령시,,7476
2019,2,충청남도,보령시,,7321
2019,3,충청남도,보령시,,9081
2019,4,충청남도,보령시,,7420
2019,5,충청남도,보령시,,8643
2019,6,충청남도,보령시,,10759
2019,7,충청남도,보령시,,13509
2019,8,충청남도,보령시,,11088
2019,9,충청남도,보령시,,10400
2019,10,충청남도,보령시,,9861
2019,11,충청남도,보령시,,8248
2019,12,충청남도,보령시,,10535
2020,1,충청남도,보령시,,8275
2020,2,충청남도,보령시,,5934
2020,3,충청남도,보령시,,7251
2020,4,충청남도,보령시,,8525
2020,5,충청남도,보령시,,9535
2020,6,충청남도,보령시,,9892
2020,7,충청남도,보령시,,11369
2020,8,충청남도,보령시,,10164
2020,9,충청남도,보령시,,12885
2020,10,충청남도,보령시,,10663
2020,11,충청남도,보령시,,9729
2020,12,충청남도,보령시,,9796
2021,1,충청남도,보령시,,6071
2021,2,충청남도,보령시,,5687
2021,3,충청남도,보령시,,7601
2021,4,충청남도,보령시,,9561
2021,5,충청남도,보령시,,10171
2021,6,충청남도,보령시,,11007
2021,7,충청남도,보령시,,11201
2021,8,충청남도,보령시,,10984
2021,9,충청남도,보령시,,11038
2021,10,충청남도,보령시,,12587
2021,11,충청남도,보령시,,12618
2021,12,충청남도,보령시,,11591
2022,1,충청남도,보령시,,8042
2022,2,충청남도,보령시,,6969
2022,3,충청남도,보령시,,8131
2022,4,충청남도,보령시,,9396
2022,5,충청남도,보령시,,13709
2022,6,충청남도,보령시,,14199
2022,7,충청남도,보령시,,18474
2022,8,충청남도,보령시,,18502
2022,9,충청남도,보령시,,16262
2022,10,충청남도,보령시,,14676
2022,11,충청남도,보령시,,12757
2022,12,충청남도,보령시,,11746
2023,1,충청남도,보령시,,11685
2023,2,충청남도,보령시,,12946
2023,3,충청남도,보령시,,15248
2023,4,충청남도,보령시,,17927
2023,5,충청남도,보령시,,21225
2023,6,충청남도,보령시,,21851
2023,7,충청남도,보령시,,27192
2023,8,충청남도,보령시,,27813
2023,9,충청남도,보령시,,24585
2023,10,충청남도,보령시,,25646
2023,11,충청남도,보령시,,20866
2023,12,충청남도,보령시,,17136
2024,1,충청남도,보령시,,19118
2024,2,충청남도,보령시,,15640
2024,3,충청남도,보령시,,18186
2024,4,충청남도,보령시,,18998
2024,5,충청남도,보령시,,20164
2024,6,충청남도,보령시,,20585
2024,7,충청남도,보령시,,25291
2024,8,충청남도,보령시,,22137
2024,9,충청남도,보령시,,16215
2024,10,충청남도,보령시,,16637
2019,1,충청남도,서산시,,11392
2019,2,충청남도,서산시,,15939
2019,3,충청남도,서산시,,12080
2019,4,충청남도,서산시,,12641
2019,5,충청남도,서산시,,15823
2019,6,충청남도,서산시,,13394
2019,7,충청남도,서산시,,12022
2019,8,충청남도,서산시,,10947
2019,9,충청남도,서산시,,9951
2019,10,충청남도,서산시,,12916
2019,11,충청남도,서산시,,10741
2019,12,충청남도,서산시,,11221
2020,1,충청남도,서산시,,8521
2020,2,충청남도,서산시,,8530
2020,3,충청남도,서산시,,13656
2020,4,충청남도,서산시,,13142
2020,5,충청남도,서산시,,16147
2020,6,충청남도,서산시,,11746
2020,7,충청남도,서산시,,12689
2020,8,충청남도,서산시,,12409
2020,9,충청남도,서산시,,11003
2020,10,충청남도,서산시,,11418
2020,11,충청남도,서산시,,11595
2020,12,충청남도,서산시,,13480
2021,1,충청남도,서산시,,7851
2021,2,충청남도,서산시,,7845
2021,3,충청남도,서산시,,10136
2021,4,충청남도,서산시,,15337
2021,5,충청남도,서산시,,14939
2021,6,충청남도,서산시,,16123
2021,7,충청남도,서산시,,12011
2021,8,충청남도,서산시,,12842
2021,9,충청남도,서산시,,12483
2021,10,충청남도,서산시,,12148
2021,11,충청남도,서산시,,14596
2021,12,충청남도,서산시,,14588
2022,1,충청남도,서산시,,10602
2022,2,충청남도,서산시,,9146
2022,3,충청남도,서산시,,11440
2022,4,충청남도,서산시,,14448
2022,5,충청남도,서산시,,16785
2022,6,충청남도,서산시,,15314
2022,7,충청남도,서산시,,16003
2022,8,충청남도,서산시,,17335
2022,9,충청남도,서산시,,17685
2022,10,충청남도,서산시,,18301
2022,11,충청남도,서산시,,16706
2022,12,충청남도,서산시,,15354
2023,1,충청남도,서산시,,15680
2023,2,충청남도,서산시,,16509
2023,3,충청남도,서산시,,20930
2023,4,충청남도,서산시,,21628
2023,5,충청남도,서산시,,23540
2023,6,충청남도,서산시,,21307
2023,7,충청남도,서산시,,20901
2023,8,충청남도,서산시,,21751
2023,9,충청남도,서산시,,20479
2023,10,충청남도,서산시,,21181
2023,11,충청남도,서산시,,21725
2023,12,충청남도,서산시,,20673
2024,1,충청남도,서산시,,19463
2024,2,충청남도,서산시,,20505
2024,3,충청남도,서산시,,24912
2024,4,충청남도,서산시,,30374
2024,5,충청남도,서산시,,24760
2024,6,충청남도,서산시,,24300
2024,7,충청남도,서산시,,24793
2024,8,충청남도,서산시,,22440
2024,9,충청남도,서산시,,21777
2024,10,충청남도,서산시,,21725
2019,1,충청남도,서천군,,5625
2019,2,충청남도,서천군,,3698
2019,3,충청남도,서천군,,6155
2019,4,충청남도,서천군,,5664
2019,5,충청남도,서천군,,6949
2019,6,충청남도,서천군,,5300
2019,7,충청남도,서천군,,5456
2019,8,충청남도,서천군,,6094
2019,9,충청남도,서천군,,5404
2019,10,충청남도,서천군,,5250
2019,11,충청남도,서천군,,4991
2019,12,충청남도,서천군,,7967
